Company,Name of program/role,Type,Course Progression,Roles,Status,Location,Duration,Open,Close,Industry,Work rights required,URL,Description,Notes,Last updated
ANZ,Graduate Program,Grad Program,Ultimate/Grad,,Closed,Australia Wide,6-24 Months,August,September,Banking,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.anz.com.au/careers/programs/graduates/,,"Other allowed Visas:
• Subclass 485 Temporary Graduate;
• Subclass 461 New Zealand Citizen Family Relationship;
• Subclass 801/802 Partner; or
• Subclass 155 Resident Return.","March 15, 2024 1:45 PM"
Apple,,Summer Internship,Penultimate,"Data Science Engineer, Data Visualisation Engineer, Mobile App Developer, Software Engineer",Closed,Sydney,,,November,Technology,Full working rights,https://jobs.apple.com/en-au/search?location=australia-AUSC&team=Internships-STDNT-INTRN,,,"March 15, 2024 1:45 PM"
Arcitecta,,Summer Internship,Penultimate,Software Engineer,Closed,Melbourne,Summer,,,,,https://www.arcitecta.com/internships/,,,"March 15, 2024 1:45 PM"
Arup,,Summer Internship,Penultimate,"Data Engineer, Security Engineer, Software Engineer",Closed,"Melbourne, Sydney",,,,Construction,,https://www.arup.com/careers/early-careers/internships/australasia-internships/internship-roles-with-arup-australasia,,,"March 15, 2024 1:45 PM"
Aurecon,Graduate Programme,Grad Program,Ultimate/Grad,"Software Engineer, Tech Consultant",Closed,,,February,April,"Construction, Consulting, Energy, Technology, Transportation","Australian Citizen, Full working rights, New Zealand Citizen",https://www.aurecongroup.com/careers/early-careers/graduate-programme,,- Must be studying Engineering,"March 15, 2024 1:45 PM"
Aurecon,Intern Programme,Summer Internship,Penultimate,"Software Engineer, Tech Consultant",Closed,,12 weeks,July,August,"Construction, Consulting, Energy, Technology, Transportation","Australian Citizen, Full working rights, New Zealand Citizen",https://www.aurecongroup.com/careers/early-careers/intern-programme#criteria,,- Must be studying Engineering,"March 15, 2024 1:45 PM"
Australia Post,2025 Graduate Program,Grad Program,Ultimate/Grad,,Closed,Melbourne,24 months,June,July,Retail and Sales,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://au.prosple.com/graduate-employers/australia-post/jobs-internships/2025-graduate-program-pre-register,,,"March 15, 2024 1:45 PM"
Australian Bureau of Statistics,ABS ICT Graduate Recruitment Program,Grad Program,Ultimate/Grad,"Cyber Security, Network Engineer, Software Engineer",Closed,"Adelaide, Brisbane, Canberra, Hobart, Melbourne, Perth, Sydney",12 Months,March,April,"Government, Technology",Australian Citizen,https://www.abs.gov.au/about/abs-careers/start-your-career-abs-graduate/information-and-communication-technology-graduates,,,"March 15, 2024 1:45 PM"
Australian Bureau Statistics,ABS Data Graduate Recruitment Program,Grad Program,Ultimate/Grad,Data Scientist,Closed,"Adelaide, Brisbane, Canberra, Hobart, Melbourne, Perth, Sydney",6-12 months,March,April,"Big Data and Analytics, Data Science, Government, Technology",Australian Citizen,https://www.abs.gov.au/about/abs-careers/start-your-career-abs-graduate/data-graduates,,,"March 15, 2024 1:45 PM"
Australian Federal Police,Graduate Program,Grad Program,Ultimate/Grad,"Cyber Security, Data Scientist, Forensics Technology, Network Engineer, Software Engineer, Systems Engineer",Closed,Canberra,12 Months,,,Government,Australian Citizen,https://www.afp.gov.au/jobs/pathway/university-graduate-program,,"- Majority of roles are in Canberra
- Program runs Feb to Feb each year","March 15, 2024 1:45 PM"
Australian Security Intelligence Organisation,Technologist Graduate Program,Grad Program,Ultimate/Grad,"AI & ML Engineer, Business Analyst, Cloud Engineer, Cyber Security, Data Analyst, Data Engineer, Data Scientist, Forensics Technology, IT, Network Engineer, Project Manager, Software Engineer",Closed,Canberra,12 Months,,,"Government, Intelligence",Australian Citizen,https://www.asio.gov.au/careers/graduates,,,"March 15, 2024 1:45 PM"
Australian Signals Directorate,Graduate Program,Grad Program,Ultimate/Grad,"AI & ML Engineer, Business Analyst, Cloud Engineer, Cyber Security, Data Analyst, Data Engineer, Data Scientist, Network Engineer, Penetration Tester, Security, Security Engineer, Software Engineer",Closed,"Brisbane, Canberra, Melbourne, Perth",,March,,"Government, Intelligence, Technology",Australian Citizen,https://www.asd.gov.au/careers/im-starting-my-career,,Vast majority of positions are based in Canberra.,"March 15, 2024 1:45 PM"
Australian Signals Directorate,Internship Program,Summer Internship,Penultimate,"AI & ML Engineer, Business Analyst, Cyber Security, Data Analyst, Data Scientist, IT, Information Technology, Software Engineer",Closed,"Brisbane, Canberra, Melbourne, Perth",12 weeks,March,,"Government, Intelligence, Technology",Australian Citizen,https://www.asd.gov.au/careers/im-starting-my-career,,Vast majority of positions are based in Canberra.,"March 15, 2024 1:45 PM"
Australian Signals Directorate,Cadetship Program,1 Year+ Internship,Pre-Penultimate,"AI & ML Engineer, Business Analyst, Cloud Engineer, Cyber Security, Data Analyst, Data Engineer, Data Scientist, Network Engineer, Penetration Tester, Security, Security Engineer, Software Engineer",Closed,"Brisbane, Canberra, Melbourne, Perth",12-36 Months,March,,"Government, Intelligence, Technology",Australian Citizen,https://www.asd.gov.au/careers/im-starting-my-career,,Vast majority of positions are based in Canberra.,"March 15, 2024 1:45 PM"
Australian Tax Office,ATO Graduate Program,Grad Program,Ultimate/Grad,"AI & ML Engineer, Business Analyst, Cloud Engineer, Cyber Security, Data Analyst, Data Scientist, IT, Software Engineer, UX/UI Designer",Closed,"Adelaide, Brisbane, Canberra, Hobart, Melbourne, Perth, Sydney",,March,April,"Finance, Government",Australian Citizen,https://www.ato.gov.au/about-ato/careers/entry-level-programs/the-ato-graduate-program/apply-for-the-graduate-program,,,"March 15, 2024 1:45 PM"
BAE Systems,Summer Internship,Summer Internship,Penultimate,IT,Closed,,12 weeks,August,,"Defense, Technology",Australian Citizen,https://www.baesystems.com/en-aus/careers/graduate-and-early-careers#1573679801007,,,"March 15, 2024 1:45 PM"
BAE Systems,Graduate Program,Grad Program,Ultimate/Grad,IT,Closed,,36 Months,March,April,"Defense, Technology",Australian Citizen,https://www.baesystems.com/en-aus/careers/graduate-and-early-careers#1573679801007,,,"March 15, 2024 1:45 PM"
BDO,Undergraduate Program,1 Year+ Internship,"Penultimate, Pre-Penultimate","Cyber Security, Forensics Technology, Tech Consultant",Closed,Melbourne,12-36 Months,February,March,"Accounting, Consulting","Australian Citizen, Australian Permanent Resident",https://www.bdo.com.au/en-au/about/student-careers#programs,,,"March 15, 2024 1:45 PM"
BDO,Vacation Program,Summer Internship,Penultimate,"Cyber Security, Forensics Technology, Tech Consultant",Closed,Melbourne,Summer,February,March,"Accounting, Consulting","Australian Citizen, Australian Permanent Resident",https://gradaustralia.com.au/graduate-employers/bdo/jobs-internships,,"Three intakes per year: June, November, January","March 15, 2024 1:45 PM"
BDO,Graduate Program,Grad Program,Ultimate/Grad,"Cyber Security, Forensics Technology, Tech Consultant",Closed,Melbourne,,February,March,"Accounting, Consulting","Australian Citizen, Australian Permanent Resident",https://www.bdo.com.au/en-au/about/student-careers#programs,,Intakes in Jan and June,"March 15, 2024 1:45 PM"
BHP,,Grad Program,Ultimate/Grad,"Data Scientist, Software Engineer",Closed,Melbourne,10-12 weeks,March,April,Mining,,https://www.bhp.com/careers/graduate-student-programs/australia,,,"March 15, 2024 1:45 PM"
Bloomberg,,Summer Internship,Penultimate,"Data Analyst, Sales, Software Engineer",Closed,APAC,Summer,,,"Banking, Finance",No information,https://www.bloomberg.com/company/career/engineering-apac/,,,"March 15, 2024 1:45 PM"
Boeing,Graduate Program,Grad Program,Ultimate/Grad,"Data Analyst, Software Engineer, Systems Engineer",Closed,"Adelaide, Amberley, Brisbane, Melbourne, Nowra, Williamtown",24 months,May,,"Aerospace, Defense",Full working rights,https://www.boeing.com.au/careers/interns-and-graduates.page,,,"March 15, 2024 1:45 PM"
Boeing,,Summer Internship,"Penultimate, Pre-Penultimate","Data Analyst, Software Engineer, Systems Engineer",Closed,"Adelaide, Amberley, Brisbane, Melbourne, Nowra, Williamtown",Summer,July,Mid-July,"Aerospace, Defense",Full working rights,https://www.boeing.com.au/careers/interns-and-graduates.page,,,"March 15, 2024 1:45 PM"
Canva,,Summer Internship,Penultimate,"AI & ML Engineer, Data Analyst, Infrastructure  Engineer, Product Designer, Product Engineer, Security Engineer, Software Engineer, UX/UI Designer",Closed,"Flexible, Melbourne, Sydney",Summer,March,June,Technology,"Full working rights, International",https://www.lifeatcanva.com/en/jobs/?search=&location=Sydney&type=Internship&pagesize=20#results,Canva Summer Tech Internships 23/24,"Engineering internships are posted first, followed by design/misc roles.","March 15, 2024 1:45 PM"
CISCO,,Summer Internship,Penultimate,"Automation Engineer, Network Engineer, Site Reliability Engineer, Systems Engineer, Technical Support",Closed,"Brisbane, Canberra, Melbourne, Perth, Sydney",6-12 months,,,Technology,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://jobs.cisco.com/jobs/SearchJobs/?21178=%5B214420%5D&21178_format=6020&21180=%5B165%5D&21180_format=6022&listFilterMode=1,,,"March 15, 2024 1:45 PM"
Citadel,Discovery Day,Program,Pre-Penultimate,"Software Engineer, Trader",Closed,Sydney,2-3 Days,,,Trading,,,,,"March 15, 2024 1:45 PM"
"Citadel Securities ",,Summer Internship,Penultimate,"Quantitative Researcher, Software Engineer, Trader",Closed,Sydney,Summer,February,October,"Banking, Finance",No information,https://www.citadelsecurities.com/careers/open-roles/roles-for-students/?keyword=Intern,,,"March 15, 2024 1:45 PM"
Coles,Technology & Digital Graduate Program,Grad Program,Ultimate/Grad,,Closed,Melbourne,,February,April,Retail and Sales,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen, New Zealand Permanent Resident",https://prosple.com/graduate-employers/coles/jobs-internships/2024-technology-graduate-program-pre-register,,,"March 15, 2024 1:45 PM"
Coles,Engineering and Logistics Graduate Program,Grad Program,Ultimate/Grad,,Closed,NSW,,February,April,Retail and Sales,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen, New Zealand Permanent Resident",https://prosple.com/graduate-employers/coles/jobs-internships/2024-engineering-and-logistics-graduate-program-pre-register,,*duration not specified,"March 15, 2024 1:45 PM"
Commonwealth Bank,Global Markets Summer Analyst Program,Summer Internship,"Penultimate, Pre-Penultimate, Ultimate/Grad",,Closed,Sydney,Summer,May,July,Banking,"Australian Citizen, Australian Permanent Resident",https://prosple.com/graduate-employers/commonwealth-bank/jobs-internships/202324-commbank-global-markets-summer-analyst-program,,,"March 15, 2024 1:45 PM"
Commonwealth Bank,Engineering Summer Intern Program,Summer Internship,"Penultimate, Pre-Penultimate, Ultimate/Grad",,Closed,"Melbourne, Perth, Sydney",Summer,July,August,Banking,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://prosple.com/graduate-employers/commonwealth-bank/jobs-internships/202324-engineering-summer-intern-program,,,"March 15, 2024 1:45 PM"
Commonwealth Bank,Data Science and Analytics Summer Intern Program,Summer Internship,Penultimate,"Data Analyst, Data Science Engineer",Closed,"Melbourne, Perth, Sydney",Summer,July,August,Banking,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://prosple.com/graduate-employers/commonwealth-bank/jobs-internships/202324-data-science-and-analytics-summer-intern-program,,*New Zealand citizen already residing in Australia,"March 15, 2024 1:45 PM"
Commonwealth Bank,Bankwest Technology Graduate Program,Grad Program,Ultimate/Grad,,Closed,"Perth, Western Australia",12-24 months,March,April,Banking,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://prosple.com/graduate-employers/commonwealth-bank/jobs-internships/2024-bankwest-technology-graduate-program,,,"March 15, 2024 1:45 PM"
Commonwealth Bank,Engineering and Cyber Security Graduate Program,Grad Program,Ultimate/Grad,"AI & ML Engineer, Cloud Engineer, Cyber Security, Machine Learning Engineer, Mobile App Developer",Closed,"Adelaide, Brisbane, Melbourne, Perth, Sydney",12-24 months,March,April,Banking,"Australian Citizen, Australian Permanent Resident",https://prosple.com/graduate-employers/commonwealth-bank/jobs-internships/engineering-and-cyber-security-graduate-program,,,"March 15, 2024 1:45 PM"
Commonwealth Bank,Data Science and Analytics Graduate Program,Grad Program,Ultimate/Grad,"Business Analyst, Data Science Engineer, Technology Risk",Closed,"Adelaide, Brisbane, Melbourne, Perth, Sydney",12-24 months,March,April,Banking,"Australian Citizen, Australian Permanent Resident",https://prosple.com/graduate-employers/commonwealth-bank/jobs-internships/data-science-and-analytics-graduate-program,,,"March 15, 2024 1:45 PM"
Commonwealth Bank,,Summer Internship,Penultimate,"Business Analyst, Cyber Security Advisor, Data Engineer, Data Manager, DevOps Engineer, Machine Learning Engineer, Penetration Tester, Project Manager, Security Engineer, Software Engineer, Systems Engineer, Technical Analyst",Closed,Sydney,Summer,July,August,"Banking, Finance","Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.commbank.com.au/about-us/careers/graduate-intern-programs.html,,,"March 15, 2024 1:45 PM"
Culture Amp,,Summer Internship,Penultimate,Software Engineer,Closed,Melbourne,Summer,,November,Technology,,,,,"March 15, 2024 1:45 PM"
Deloitte,Graduate Program,Grad Program,Ultimate/Grad,"Analytics and Cognitive, Business Engineer, Cloud Engineer, Data Analyst, Platforms Engineer, Software Engineer, Technology Audit",Closed,"Canberra, Melbourne, Perth, Sydney",12 Months,,,Consulting,"Australian Citizen, Australian Permanent Resident, International, New Zealand Citizen",https://www.deloitte.com/au/en/careers/students/graduate-program-careers.html,,,"March 15, 2024 1:45 PM"
Deloitte,Foundations Program,Program,Pre-Penultimate,Tech Consultant,Closed,"Canberra, Melbourne, Perth, Sydney",2-3 Days,,,Consulting,,,,,"March 15, 2024 1:45 PM"
Department of Defence,STEM Cadetship,1 Year+ Internship,Penultimate,"Cyber Security, Data Analyst, Data Scientist, IT, Software Engineer",Closed,"Adelaide, Brisbane, Canberra, Melbourne, New Castle, Perth, Sydney",12-36 Months,February,,"Defense, Government, Technology",Australian Citizen,https://www.defence.gov.au/jobs-careers/student-pathways/stem-cadetship,,,"March 15, 2024 1:45 PM"
Department of Defence,Graduate Program,Grad Program,Ultimate/Grad,"Cyber Security, Data Analyst, Data Scientist, IT, Software Engineer",Closed,"Adelaide, Brisbane, Canberra, Melbourne, New Castle, Perth, Sydney",,February,,"Defense, Government, Technology",Australian Citizen,https://www.defence.gov.au/jobs-careers/graduate-program,,,"March 15, 2024 1:45 PM"
Deputy,,Summer Internship,Penultimate,"Product Designer, Software Engineer",Closed,"Melbourne, Sydney","Semester 1, Semester 2, Summer",,,Technology,,,,,"March 15, 2024 1:45 PM"
Electronic Arts,"Software Engineer Intern FireMonkeys ",6/12 Month Internship,Ultimate/Grad,Software Engineer,Closed,Melbourne,12-24 months,January,February,Gaming,Australian Citizen,,Software Engineering Intern - need to have graduated and specialise in C++ and C#,,"March 15, 2024 1:45 PM"
EY,Vactioner,Summer Internship,Penultimate,"Cyber Security, Data Analyst, Technology Risk",Closed,"Canberra, Melbourne, Sydney",Summer,February,March,Consulting,"Australian Citizen, Australian Permanent Resident, International, New Zealand Citizen",https://www.ey.com/en_au/careers/students-apply-here,,Also available through the IBL program.,"March 15, 2024 1:45 PM"
EY,Career Compass,Program,Pre-Penultimate,Tech Consultant,Closed,"Canberra, Melbourne, Perth, Sydney",1 day,,,Consulting,,,,,"March 15, 2024 1:45 PM"
